user_id,current_mrr_net,prev_mrr_net,mrr_status,current_plan_type_finance
67434089,0.0,537.6,churn,
78533522,0.0,1856.0,churn,
116334,0.0,1047.0,churn,
36723205,0.0,672.0,churn,
35423169,0.0,593.0,churn,
75832678,0.0,1609.0,churn,
36238105,0.0,1869.15,churn,
56324009,0.0,1047.0,churn,
1479361,0.0,617.95,churn,
62765793,0.0,1003.0,churn,
48373609,0.0,473.0,churn,
32396542,0.0,17.0,churn,
69941197,0.0,1770.0,churn,
14222227,0.0,1309.0,churn,
37080989,0.0,1571.0,churn,
55098037,0.0,783.0,churn,
3039538,0.0,473.0,churn,
227731386,0.0,1025.0,churn,
153739314,0.0,900.0,churn,
109383326,0.0,558.0,churn,
128573970,0.0,2205.0,churn,
8315893,0.0,900.0,churn,
69574565,0.0,599.0,churn,
11301331,0.0,1025.0,churn,
200476942,0.0,1260.0,churn,
219744094,0.0,810.0,churn,
205354094,0.0,1950.0,churn,
194116938,0.0,750.0,churn,
150902726,0.0,1150.0,churn,
9530901,0.0,1360.0,churn,
249242857,0.0,648.0,churn,
26473463,0.0,1150.0,churn,
178203065,0.0,454.75,churn,
248554215,0.0,787.52,churn,
180086218,0.0,3210.0,churn,
54031241,0.0,569.0,churn,
245678162,0.0,977.5,churn,
88638981,0.0,750.0,churn,
249064608,0.0,1873.83,churn,
167866334,0.0,1630.0,churn,
74237866,0.0,160.0,churn,
200537354,0.0,180.0,churn,
235651918,0.0,180.0,churn,
4889046,0.0,250.0,churn,
112417046,0.0,20.0,churn,
71377158,0.0,20.0,churn,
29430915,0.0,90.0,churn,
200473934,0.0,20.0,churn,
158243214,0.0,270.0,churn,
40255,0.0,35.0,churn,
162727078,0.0,90.0,churn,
139658049,0.0,20.0,churn,
124092650,0.0,810.0,churn,
235951978,0.0,450.0,churn,
189120874,0.0,450.0,churn,
182273910,0.0,630.0,churn,
170088389,0.0,410.0,churn,
5547594,0.0,450.0,churn,
249227796,0.0,348.5,churn,
40057957,0.0,450.0,churn,
94894981,0.0,450.0,churn,
1961401,0.0,630.0,churn,
197292166,0.0,630.0,churn,
137273953,0.0,450.0,churn,
138392113,0.0,450.0,churn,
140003109,0.0,828.0,churn,
220933238,0.0,630.0,churn,
151790438,0.0,20.0,churn,
34150477,0.0,410.0,churn,
197404590,0.0,630.0,churn,
139370977,0.0,630.0,churn,
119212414,0.0,410.0,churn,
61963721,0.0,630.0,churn,
41252725,0.0,40.0,churn,
50273117,0.0,20.0,churn,
21335180,0.0,200.0,churn,
36929297,0.0,1368.0,churn,
98681693,0.0,660.0,churn,
11113439,0.0,40.0,churn,
81689690,0.0,40.0,churn,
58593421,0.0,20.0,churn,
33771829,0.0,20.0,churn,
19429043,0.0,40.0,churn,
13369063,0.0,20.0,churn,
56529153,0.0,80.0,nrr,
55047317,0.0,600.0,nrr,
60040281,0.0,72.0,nrr,
47581253,0.0,320.0,nrr,
67933173,0.0,10.0,churn,
109552306,0.0,10.0,churn,
8678109,0.0,10.0,churn,
95290921,0.0,1003.0,churn,
31139187,0.0,783.0,churn,
19420975,0.0,672.0,churn,
90226629,0.0,672.0,churn,
2001697,0.0,1757.0,churn,
8340157,0.0,593.0,churn,
110257778,0.0,2140.0,churn,
53606181,0.0,1625.0,churn,
42377693,0.0,308.0,churn,
63484817,0.0,1003.0,churn,
16082647,0.0,334.0,churn,
35206137,0.0,473.0,churn,
49973277,0.0,456.0,churn,
36355781,0.0,593.0,churn,
32118714,0.0,1003.0,churn,
39543713,0.0,672.0,churn,
75877406,0.0,672.0,churn,
4975162,0.0,1609.0,churn,
42140053,0.0,334.0,churn,
55854377,0.0,4529.0,churn,
58968749,0.0,1625.0,churn,
7865733,0.0,855.0,churn,
56050773,0.0,17.0,churn,
43892417,0.0,593.0,churn,
31794947,0.0,456.0,churn,
44602313,0.0,1194.0,churn,
8975249,0.0,1665.0,churn,
15817127,0.0,1856.0,churn,
26132331,0.0,546.0,churn,
16247939,0.0,148.0,churn,
9252005,0.0,473.0,churn,
54044317,0.0,546.0,churn,
94898401,0.0,672.0,churn,
104692238,0.0,838.0,churn,
3240114,0.0,2580.0,churn,
108964570,0.0,4600.0,payg_last,
6807966,0.0,200.0,payg_last,
123411106,0.0,465.0,churn,
104047146,0.0,685.0,churn,
158757462,0.0,900.0,churn,
2274054,0.0,1800.0,churn,
37497761,0.0,350.0,churn,
69464793,0.0,1150.0,churn,
201720934,0.0,599.0,churn,
56707457,0.0,1025.0,churn,
148536526,0.0,877.0,churn,
165730766,0.0,620.0,churn,
163726638,0.0,1025.0,churn,
128702322,0.0,454.75,churn,
70197217,0.0,1025.0,churn,
14231039,0.0,2250.0,churn,
24947175,0.0,1500.0,churn,
880117,0.0,1850.0,churn,
84833981,0.0,1025.0,churn,
87094829,0.0,880.0,churn,
142852237,0.0,240.41,churn,
123319190,0.0,465.0,churn,
229044758,0.0,1150.0,churn,
66712221,0.0,569.0,churn,
247674876,0.0,2628.0,churn,
247422637,0.0,692.75,churn,
2980154,0.0,1325.0,churn,
27526535,0.0,17.0,churn,
129571270,0.0,25.0,churn,
187024922,0.0,90.0,churn,
10631147,0.0,20.0,churn,
151029518,0.0,23.33,churn,
19252695,0.0,90.0,churn,
151506850,0.0,210.0,churn,
182283366,0.0,220.0,churn,
200650198,0.0,20.0,churn,
188726350,0.0,630.0,churn,
182723382,0.0,632.4,churn,
128927390,0.0,452.0,churn,
145592650,0.0,800.0,churn,
4889298,0.0,630.0,churn,
142778373,0.0,452.0,churn,
60185033,0.0,450.0,churn,
4228690,0.0,450.0,churn,
35809809,0.0,450.0,churn,
96987401,0.0,645.0,churn,
129673510,0.0,905.0,churn,
144265889,0.0,630.0,churn,
227024282,0.0,452.0,churn,
214400142,0.0,630.0,churn,
188977658,0.0,1030.0,churn,
108215486,0.0,800.0,churn,
152325834,0.0,510.0,churn,
54423037,0.0,0.0,churn,
195142994,0.0,620.0,churn,
28348527,0.0,494.0,churn,
107155174,0.0,450.0,churn,
43128773,0.0,630.0,churn,
149446890,0.0,450.0,churn,
231090714,0.0,630.0,churn,
244126630,0.0,450.0,churn,
167859858,0.0,800.0,churn,
5168742,0.0,630.0,churn,
112747882,0.0,830.0,churn,
28457843,0.0,40.0,churn,
108811922,0.0,20.0,churn,
60730489,0.0,2048.0,churn,
9856903,0.0,20.0,churn,
5981446,0.0,180.0,churn,
54036849,0.0,641.95,churn,
41113257,0.0,540.0,churn,
17319864,0.0,20.0,churn,
145018370,0.0,20.0,churn,
119898854,0.0,40.0,churn,
56204541,0.0,120.0,nrr,
72933058,0.0,60.0,nrr,
2594170,0.0,28.0,nrr,
81800022,0.0,40.0,nrr,
124749238,0.0,70.0,nrr,
37550041,0.0,40.0,nrr,
129584658,0.0,10.0,churn,
17132379,0.0,476.0,churn,
193623262,0.0,270.0,churn,
7520589,0.0,473.0,churn,
1802021,0.0,640.0,churn,
8303105,0.0,672.0,churn,
111573666,0.0,1047.0,churn,
13346811,0.0,672.0,churn,
19535103,0.0,2700.0,churn,
70180441,0.0,889.95,churn,
11821327,0.0,727.0,churn,
24660239,0.0,1378.0,churn,
76193966,0.0,871.0,churn,
12951291,0.0,852.55,churn,
90627337,0.0,2000.0,churn,
3096190,0.0,1378.0,churn,
51297241,0.0,593.0,churn,
41664221,0.0,672.0,churn,
94407765,0.0,783.0,churn,
42387377,0.0,1870.0,churn,
1562621,0.0,838.0,churn,
7830261,0.0,525.0,churn,
