user_id,email_creates_30d,email_publishes_30d,email_tests_30d,total_builder_events_30d
73108314,10,10,0,20
89526541,11,11,0,22
53491133,27,11,0,38
69397505,13,10,0,23
90289529,14,10,0,24
81442290,211,120,10,341
60281849,14,7,0,21
29599383,21,15,1,37
77249654,30,16,5,51
44311273,16,16,0,32
51492549,26,16,0,42
53140853,18,16,0,34
75465626,18,9,0,27
97798929,18,18,0,36
54820409,21,12,4,37
39773193,20,15,0,35
67822549,23,14,0,37
79805258,22,10,8,40
41095769,22,10,0,32
48834465,27,23,2,52
45260297,33,23,6,62
40367769,27,19,0,46
41894541,32,26,3,61
82849142,26,27,0,53
37259973,32,29,0,61
46573157,29,12,0,41
98131581,30,21,3,54
66527037,31,30,0,61
86544973,36,33,0,69
80044350,44,34,0,78
53050437,37,24,0,61
68978937,38,16,3,57
88984029,41,15,8,64
62187589,46,39,0,85
41907021,52,47,3,102
51918189,75,58,1,134
94018565,59,51,0,110
64245969,84,68,7,159
96713705,108,74,0,182
66684021,86,40,40,166
40719849,96,86,0,182
88730989,125,112,0,237
67437149,125,113,2,240
93594197,176,128,13,317
79462754,255,241,0,496
56878681,1483,1405,33,2921
44447805,52269,7803,41095,101167
9888443,6,6,0,12
6449910,1,1,0,2
1150901,2,2,0,4
9589945,10,4,0,14
218097,3,2,0,5
8220241,5,4,0,9
5380798,4,3,0,7
8302209,15,3,0,18
4420302,11,4,0,15
4806622,4,4,0,8
139357,9,6,0,15
9895251,9,6,0,15
8562693,8,8,0,16
9214377,8,7,0,15
2726910,8,6,0,14
6105438,9,8,0,17
2926126,13,11,0,24
295521,20,12,0,32
1050689,24,11,3,38
6485434,7,19,0,26
49669,19,18,1,38
10548599,34,28,0,62
4733610,37,20,2,59
8849809,49,21,0,70
251225035,2,0,0,2
251636423,1,0,0,1
245769686,1,3,0,4
248256077,1,0,0,1
235291282,3,1,0,4
243216170,63,64,1,128
248521495,2,2,0,4
225190850,3,2,0,5
227329102,5,2,0,7
228349934,4,2,0,6
211386610,7,7,2,16
249413492,3,3,0,6
248189226,45,24,4,73
212166666,6,4,0,10
249485534,8,5,0,13
249941939,7,8,0,15
242862650,12,7,4,23
235336922,9,7,0,16
247201087,15,0,15,30
228122726,13,10,0,23
248217087,28,11,0,39
243749002,14,13,0,27
210956266,22,13,0,35
245754934,15,12,0,27
239471566,111,68,26,205
251599623,18,0,15,33
247227905,17,16,0,33
249112945,27,16,2,45
212470682,30,22,1,53
245737862,22,16,1,39
221820750,20,18,0,38
242935858,22,21,0,43
212871454,36,28,0,64
225559826,26,24,0,50
241021814,23,15,0,38
213913922,25,26,0,51
222427658,29,25,0,54
215684494,33,26,0,59
221190530,26,14,3,43
214762278,42,30,0,72
221258646,51,30,17,98
246900523,42,29,0,71
228700350,35,30,0,65
212383134,18,31,0,49
212832762,56,32,2,90
235943102,61,41,0,102
216660210,56,50,0,106
245453610,57,50,0,107
219416302,64,56,0,120
212513646,118,83,0,201
245354006,120,116,0,236
214025982,335,149,172,656
236798262,232,213,0,445
246246910,213,183,0,396
243773806,3,0,3,6
240261146,3,2,0,5
237051502,9,3,0,12
245980334,4,4,0,8
232323326,5,5,0,10
248382581,14,7,5,26
247250073,8,3,5,16
233432098,16,10,0,26
243403246,11,10,0,21
227922038,15,12,0,27
248806104,14,12,0,26
234042870,14,16,0,30
244831210,18,14,0,32
223846722,24,14,0,38
248126318,20,19,0,39
246460058,25,19,0,44
235869446,74,41,0,115
231553914,113,2,50,165
232428034,58,34,0,92
235467574,113,103,0,216
233557582,539,408,12,959
77955222,27,22,0,49
135364550,1,1,0,2
53088317,1,1,0,2
112523294,1,2,0,3
101119586,1,1,0,2
99802866,2,3,0,5
85479241,2,2,0,4
114763410,2,2,0,4
182993238,2,1,0,3
181014886,2,2,0,4
45052181,2,1,0,3
120463454,3,2,0,5
142023089,3,3,0,6
115044558,3,5,0,8
189848946,3,2,0,5
151889142,3,3,0,6
69064277,4,4,0,8
102886530,4,4,0,8
72011750,5,4,0,9
49628881,4,3,0,7
59706965,5,4,0,9
135784362,5,4,0,9
135800266,4,1,3,8
141932017,4,4,0,8
192672058,4,4,0,8
136083482,4,0,0,4
88784881,4,4,0,8
40145541,4,4,0,8
134233722,4,4,0,8
167530374,4,4,0,8
131193654,4,4,0,8
104346438,4,4,0,8
106345534,4,4,0,8
91167913,4,4,0,8
35817465,6,4,0,10
49394209,5,5,0,10
108646298,11,7,0,18
92565737,5,4,0,9
120548778,5,0,5,10
48319489,5,4,0,9
101873198,7,7,0,14
131901306,5,5,0,10
114541210,5,2,0,7
103133482,5,4,0,9
84542037,5,4,0,9
169097362,6,6,0,12
109819038,6,6,0,12
173831213,5,4,0,9
88772329,5,5,0,10
101728030,10,5,0,15
142164293,7,5,0,12
83136322,6,5,0,11
91297493,6,4,0,10
