user_id,email_creates_90d,email_publishes_90d,email_tests_90d,ca_template_creates_90d,ai_content_creates_90d,sms_creates_90d,sms_publishes_90d,automation_creates_90d,automation_publishes_90d,builder_active_days_90d,total_builder_events_90d
244385962,12,8,0,0,0,0,0,0,0,17,20
221113406,41,39,0,0,0,0,0,0,0,30,80
250408031,18,0,1,0,0,0,0,0,0,6,19
221190530,72,41,4,0,0,0,0,0,0,49,117
237669410,276,144,0,0,0,0,0,0,0,89,420
237128638,246,163,3,110,0,0,0,0,0,69,412
230463382,380,290,57,0,0,0,0,0,0,80,727
248516589,32,17,0,0,0,0,0,0,0,21,49
248189226,61,26,5,0,3,0,0,0,0,20,92
248931065,8,3,0,0,0,0,0,0,0,8,11
247699283,32,24,5,0,0,0,0,0,0,23,61
246930939,58,35,6,0,0,0,0,0,0,42,99
1885645,6,3,0,0,0,0,0,0,0,6,9
5531810,7,6,0,0,0,0,0,0,0,12,13
16107939,16,11,0,0,0,0,0,0,0,13,27
815257,42,16,5,0,0,0,0,0,0,29,63
34594917,13,12,0,0,0,0,0,0,0,25,25
46361149,21,20,0,0,0,0,0,0,0,21,41
42427941,23,21,0,0,0,0,0,0,0,30,44
45052029,29,25,0,0,0,0,0,0,0,34,54
5108414,31,29,0,0,0,0,0,0,0,40,60
44733685,80,57,2,0,0,0,0,0,0,57,139
43631529,50,24,0,0,2,0,0,0,0,28,74
10275323,47,39,2,0,0,0,0,0,0,35,88
412101,62,55,0,0,0,0,0,0,0,58,117
6998893,50,49,0,0,0,0,0,0,0,44,99
36617261,74,54,0,46,0,0,0,0,0,53,128
21186259,74,63,0,0,0,0,0,0,0,30,137
28743411,127,103,2,0,0,0,0,0,0,61,232
23432979,81,64,0,0,0,0,0,0,0,76,145
28965527,77,67,4,0,0,0,0,0,0,36,148
47899621,134,102,8,0,0,0,0,0,0,82,244
48380625,95,90,0,0,0,0,0,0,0,57,185
17789955,85,51,0,0,0,0,0,0,0,61,136
48996365,144,126,0,0,0,0,0,0,0,72,270
42841737,241,150,1,0,0,0,0,0,0,63,392
14217191,181,136,10,0,0,0,0,0,0,72,327
6769562,233,189,27,0,0,0,0,0,0,29,449
54135421,406,318,5,0,25,0,0,0,0,72,729
53241757,491,385,54,0,0,0,0,0,0,72,930
1409505,373,252,10,0,0,0,0,0,0,68,635
37627417,1803,1497,302,0,0,0,0,0,0,91,3602
211145,554,518,8,0,0,0,0,0,0,89,1080
12071219,750,7,122,0,0,0,0,0,0,89,879
1916525,20,21,0,0,0,0,0,0,0,33,41
1412453,48,24,0,0,0,0,0,0,0,26,72
122778,44,33,0,0,2,0,0,0,0,30,77
2936722,85,78,0,0,0,0,0,0,0,80,163
697045,276,245,8,0,0,0,0,0,0,67,529
5569958,4,3,0,0,0,0,0,0,0,6,7
2753098,22,13,0,0,0,0,0,0,0,15,35
5643130,20,19,0,0,0,0,0,0,0,21,39
1664153,59,40,0,0,0,0,0,0,0,53,99
