user_id,email_creates_prev30d,email_publishes_prev30d,total_builder_events_prev30d
108987666,48,0,84
92240389,114,72,195
72722114,148,145,293
65852261,116,121,239
103685406,80,71,151
97649533,183,123,306
106843046,111,112,223
66117521,97,90,187
130846246,200,181,388
75889982,158,109,267
117778618,156,144,300
112776266,145,133,278
113098338,422,171,593
64081781,276,253,540
82737854,437,424,862
129947914,1,1,2
145044026,3,3,6
193379582,2,1,3
204158526,1,1,2
144086877,1,1,2
193480306,1,1,2
205370034,5,5,10
148873698,2,1,3
220042522,7,3,11
141020909,3,3,6
229035850,3,3,6
192214906,3,2,5
202255690,3,3,6
217955238,4,3,7
141124913,4,4,8
221547010,5,5,10
229513786,4,3,7
181870158,4,2,6
227658034,6,5,11
198957026,5,4,9
186318502,4,4,8
191674874,6,6,12
173384585,7,6,13
245840042,6,6,12
144573306,9,9,18
142199209,5,5,10
153149470,11,7,18
124711870,12,8,20
193726594,9,9,18
184225846,11,7,18
143361241,8,5,13
147204282,9,9,18
149846062,8,5,13
227653506,13,12,25
211719126,32,19,51
150733310,28,26,54
231090714,27,6,52
147145394,29,12,41
247042379,29,9,49
197815346,23,22,49
141639825,20,13,34
222622698,28,25,53
137359717,30,0,30
186414118,53,11,94
151618526,25,21,46
220014510,33,30,63
134717082,24,21,45
179646978,34,0,67
165925430,44,32,79
193363470,34,31,66
244148818,42,32,74
174242653,42,17,60
226343510,33,34,68
187503990,46,27,73
235956730,49,49,98
148024174,40,45,85
211315630,54,38,92
204195586,55,45,100
190632586,110,62,210
157209722,129,89,223
224148606,100,73,190
233981046,125,103,232
138763973,178,122,308
232819482,234,191,428
139802337,1147,1141,2289
137343741,2079,1628,3858
223378862,2,2,5
207888534,3,2,5
148301922,6,2,8
186971150,7,10,17
189289122,2,2,4
126873614,3,3,6
179676918,3,3,6
205494426,5,3,8
223614354,3,3,6
146755562,19,16,35
147167982,30,16,46
140098485,6,7,13
134253550,5,5,10
148369750,13,8,21
165932826,13,5,18
130582162,87,79,166
161201214,13,9,22
202103830,23,14,37
238922034,16,10,28
123412290,19,12,31
178167509,15,12,27
243931410,16,13,29
137919097,25,13,38
132272446,17,15,32
155336158,21,15,36
149916202,22,16,38
225084678,56,26,84
230195978,12,10,22
236406922,11,17,29
215588378,41,14,55
218773786,23,15,38
153943198,39,27,66
208335666,48,22,76
214399282,19,20,39
162853798,11,8,19
189914906,21,20,41
188984938,60,24,85
143403361,51,30,81
219931362,29,26,55
195656946,21,19,40
130963578,34,26,61
234053806,27,28,55
219984474,30,26,56
221578130,41,33,74
131829818,68,30,119
212911646,41,31,73
183266054,66,40,106
197519194,46,35,81
162413058,48,41,89
189646502,39,38,77
156367726,90,63,153
237868114,87,55,142
152576674,150,92,263
209844222,110,66,183
218793698,88,71,159
162461094,172,154,326
170621217,139,108,247
169971329,169,180,349
188341518,228,188,424
173364757,329,253,606
139233773,9,0,15
194047934,103,34,174
239124270,26,14,41
141910921,53,31,84
199656538,178,167,345
210115506,21,8,32
249289278,3,0,3
248945006,21,18,39
248876264,25,15,42
249428705,5,0,5
249308199,4,1,5
248779398,43,4,48
248976995,4,1,5
249107200,24,17,41
248667589,46,31,78
250010383,2,2,4
250073743,3,0,3
250040595,5,1,6
249841331,5,4,9
250351971,15,15,30
249523200,9,4,13
247732001,1,1,2
248688430,8,7,15
247731390,11,4,15
247385185,7,3,11
247565804,1,5,6
248145885,14,5,19
248016391,4,4,8
248040757,11,9,20
245434658,33,9,51
245822042,6,5,11
246899544,7,7,14
247662017,18,15,34
246532482,1,1,2
247982428,29,23,52
247567432,4,2,6
246022426,8,7,15
246620690,11,10,21
248498270,18,19,37
247924408,104,81,202
248210390,63,47,111
247992548,42,25,72
247547194,44,33,77
246893383,37,21,58
247297349,31,24,55
248225742,42,43,85
248270084,72,88,160
247142166,59,43,102
14565739,3,2,5
270581,4,2,6
10734987,3,3,6
15237483,1,1,2
19193959,5,5,10
17165387,10,4,14
7222201,3,3,6
23483123,5,4,10
12853743,15,4,19
4677242,5,4,9
4553626,18,12,30
26531523,6,12,20
11482643,2,2,4
4396798,9,3,12
29407515,9,8,17
17903259,11,8,19
30003419,37,27,64
2049445,11,6,17
18434315,14,10,24
25525743,9,8,17
7525393,11,11,22
29255983,11,9,20
26991759,8,8,16
4559114,17,12,29
20917063,24,17,41
28005103,9,7,16
20757479,21,14,35
23025395,24,21,45
23375191,17,15,32
17527787,17,13,33
12037991,13,17,30
20499995,32,27,59
22472331,55,32,87
26463855,41,40,81
27039227,51,50,101
15452827,34,23,57
20300016,35,27,62
25671252,52,45,97
20015935,92,61,160
20071595,73,71,144
155168754,3,2,5
197912538,8,7,15
189168062,10,3,15
155161678,1,8,10
170225205,1,1,2
191159970,2,1,3
189309338,2,3,5
153888150,3,2,5
158550842,3,3,6
155452998,6,4,10
195720962,4,4,8
209304138,6,3,11
183758170,3,3,6
189324262,4,0,4
172658949,10,5,16
204565762,2,2,4
170913077,6,4,10
192969674,6,4,10
201485138,2,3,5
208864174,4,4,8
166856114,3,3,6
209935006,5,3,8
154544682,7,6,13
182610954,9,6,15
188379950,8,6,14
179846070,6,2,8
203370938,6,3,12
187798938,16,8,24
182265442,6,5,11
182742930,5,0,5
213323966,13,15,28
196812006,33,13,57
180408226,12,11,23
180477682,8,7,15
192697510,59,22,93
208500962,31,13,50
175604681,22,8,30
179856110,12,8,20
185963342,10,9,19
183018670,7,7,14
162349622,9,8,17
161473854,18,8,27
158174174,8,9,17
173405841,12,12,24
195938798,12,8,20
162727010,14,11,27
174633197,11,7,18
202466282,15,8,23
212495846,14,11,25
178315134,5,5,10
156036118,12,11,23
155790686,14,9,23
186498502,17,10,27
189560330,10,8,18
205553774,17,14,31
175300765,16,12,28
199022134,9,9,18
163021766,11,10,21
186699250,26,17,43
213694146,32,17,49
193866350,25,22,49
200194602,11,8,19
163805962,12,11,27
177807981,16,11,27
157371358,14,10,24
160069382,16,12,28
175730109,16,16,32
176809337,35,18,63
180690930,32,28,60
176724726,15,16,31
171670325,22,15,37
165465918,16,15,31
172281513,17,13,30
169250546,13,9,22
155745082,21,19,40
156453526,26,8,40
166025046,20,20,40
203244862,12,5,17
160849926,18,16,34
190407358,27,13,42
169626942,20,12,32
191620114,10,14,27
200873894,23,21,44
185149362,30,19,49
178739446,22,14,36
155745478,19,19,38
164323726,37,21,59
187596150,32,26,58
193403042,36,26,62
173437257,27,24,51
161516794,25,25,50
196625646,39,34,73
167388570,36,23,62
182447774,29,26,55
204629270,38,32,70
161160382,30,25,55
165119954,29,27,56
167621046,56,30,106
178599714,35,30,65
196201458,33,26,59
181661318,122,62,213
190498990,26,25,51
208763662,27,23,51
197248426,39,32,71
213302542,45,34,79
204710290,37,38,75
203385958,67,36,104
162803614,51,40,91
166512446,39,38,79
160965142,67,42,110
202310070,37,35,72
170542793,41,36,77
159997798,41,33,84
154906906,51,47,99
198349418,35,30,65
156679286,41,44,85
185018306,51,45,96
175408489,39,39,78
180788766,53,47,104
200482738,82,63,146
161765702,57,49,106
208999382,69,59,128
199330186,53,50,103
173912401,23,9,37
207651730,54,39,98
174852109,101,73,180
163943250,77,68,146
187716566,79,80,159
172862713,100,89,189
164147394,117,99,223
191386034,211,186,400
177400593,860,484,1630
166078950,342,334,676
177346317,6,2,8
187522322,11,9,21
166475546,4,3,7
198236430,3,0,3
187901478,1,1,2
175378429,1,1,2
193672834,7,3,11
170683021,2,2,4
172402189,5,3,8
175662449,6,6,12
204792358,3,2,5
167696102,5,5,10
169680465,2,2,4
173182661,10,5,17
162850946,3,2,5
164878410,4,2,6
161162270,4,2,6
201009042,4,3,7
198419778,1,1,2
193251910,11,4,15
183043358,4,4,8
157979610,5,4,9
188199558,5,5,10
187124506,10,7,17
196630270,5,2,7
184804614,4,4,8
178449942,13,6,21
193604038,5,2,7
183507286,5,5,10
200908622,6,7,13
167470658,11,5,16
169692997,4,4,8
168034918,5,3,8
202674542,8,7,15
187232546,10,9,19
192501562,12,7,19
174022789,9,6,15
174881005,7,6,13
195465058,10,11,21
172790001,16,8,29
162007786,10,10,20
200478162,16,5,21
165438946,17,17,34
187481286,24,12,36
199312806,12,10,22
202517494,7,7,14
173281933,5,2,7
199095402,14,7,21
156791906,13,13,26
170063885,23,14,43
188041362,27,9,40
175125985,26,14,40
188536642,10,6,16
170703765,19,14,33
170567841,10,10,20
203092018,25,21,46
202996022,9,8,17
201372834,18,13,31
186286810,35,24,63
166092842,43,20,78
172960253,46,32,78
189672614,37,36,73
176597337,22,18,41
167451026,42,32,74
192756314,62,42,104
199374378,93,63,197
3865270,5,3,8
2121585,5,3,8
1804481,13,13,26
91234,28,9,42
714469,4,4,8
2181653,8,5,13
45445,13,7,20
3760698,18,10,30
945329,17,18,35
785689,37,25,63
1575409,21,7,34
4349534,50,50,100
35982829,5,3,8
70861417,2,1,3
48874625,10,2,12
63988237,0,1,1
65108869,22,19,42
40620497,16,9,26
47603345,3,1,4
57263905,2,1,3
56043361,1,1,2
60838797,2,2,4
90367377,2,1,3
107305338,1,1,2
66086197,1,1,2
71901250,12,4,18
101884410,6,5,12
72706714,2,2,4
65833529,1,0,1
79148562,3,3,6
34158509,11,3,14
38677473,3,2,5
92121101,5,4,9
43515325,3,3,6
41699377,3,3,6
55904045,2,2,4
57294457,4,3,8
99758830,3,3,6
42356877,3,3,6
106223610,2,3,5
51635633,2,2,4
106778818,4,3,7
62695497,5,2,7
61926257,5,5,10
102139942,4,3,7
46833053,3,3,6
43289837,5,4,9
69771193,19,3,23
91430905,3,4,7
66849057,14,5,20
78797950,6,5,11
100427582,2,2,4
74823226,4,3,7
80025638,5,5,10
96077209,13,7,20
92801257,2,3,5
35337925,5,4,9
65792557,4,4,8
72592126,4,3,7
82307122,5,4,9
60158489,6,11,17
95352581,5,4,9
35252981,4,5,9
47839413,33,13,49
63852817,4,4,8
38349957,4,4,8
103717886,5,4,9
50896685,3,2,5
63512601,15,5,20
107945102,7,6,16
46764257,12,5,17
49741301,79,59,145
101729146,10,7,17
81755526,6,5,11
74205326,6,5,11
76285634,13,7,21
100886874,9,6,15
38758329,6,5,12
36938133,14,7,30
49391337,5,5,10
84214453,6,6,12
57502101,5,4,9
101674250,6,5,11
34738033,9,6,18
43829553,6,5,11
60682961,8,5,13
37012853,10,6,16
56390737,7,7,14
97998637,7,8,15
59212169,11,7,18
77632906,10,7,17
61442177,10,7,17
35836641,10,8,18
83504253,10,8,18
102229506,9,7,16
58986517,10,10,20
52201781,5,5,10
107110774,4,2,6
90100477,8,6,14
44222309,24,12,36
68272181,7,6,13
57233977,7,7,14
99494685,7,4,11
94288069,6,4,10
71492906,7,8,15
77212162,11,11,22
63101685,10,7,17
73366758,10,9,19
70466289,4,6,10
64731281,8,7,15
85434573,10,9,19
56202789,27,10,46
109140450,5,4,9
59648793,12,6,21
64055873,18,12,30
52241573,11,10,21
53341289,9,12,21
68647981,8,8,16
39594145,11,8,19
59854841,13,13,26
83261081,10,9,19
92258977,13,11,24
91815261,9,9,18
41097961,10,9,19
67361821,3,7,10
46002129,8,7,15
65045453,13,13,26
51004921,10,9,19
47047349,12,10,22
46160765,10,10,20
59459545,10,11,21
49818177,58,41,101
53288577,11,10,21
109005866,13,12,25
47852169,18,11,29
71068917,16,10,29
43189593,13,11,24
40989613,21,14,35
83644501,5,12,17
58809997,13,6,19
89947785,32,20,52
35622693,23,17,40
33703753,10,10,20
37019725,14,5,22
44431513,14,6,20
43947717,9,6,15
43889293,11,11,22
46602161,20,13,33
103172422,14,12,26
43512585,13,12,25
52449213,40,25,78
57474729,13,5,18
37811253,13,13,26
51550481,6,9,15
48783761,13,7,20
45899857,15,10,25
75688106,20,14,35
71112081,19,19,38
47224625,9,9,18
50893073,10,9,19
54672545,21,18,39
103094234,20,16,37
63674837,20,8,28
36586473,14,6,20
93044657,14,13,27
61261325,17,15,32
55397929,16,13,30
45188557,13,8,21
100530866,28,16,44
59830453,37,20,57
48933333,17,8,25
81977374,14,16,30
46053521,22,15,37
61906181,18,12,30
47290909,20,14,34
43475357,14,13,27
55357053,17,11,29
74408842,16,14,30
46305101,8,14,22
53776821,15,15,30
53150013,20,19,39
109067570,16,15,31
48852813,20,11,32
53890893,18,12,30
38882973,21,16,39
47943273,14,9,23
43689081,13,8,25
95190257,16,14,30
43137033,27,14,41
88594669,21,14,35
42698497,18,8,26
83716665,16,11,27
44444789,31,21,52
39004010,19,13,36
106874758,19,15,35
43679109,10,9,19
101571406,20,15,35
62518417,15,9,24
62097517,25,18,43
42908109,25,19,44
35423169,21,15,36
59632245,13,6,19
79815214,39,20,75
46165765,30,17,50
40997993,33,17,50
40095265,35,24,59
38290065,23,14,37
62283261,16,18,34
51712465,21,21,42
39092546,21,19,40
63784457,18,19,37
68369645,7,6,13
58693921,24,17,41
37193189,54,8,77
48187621,28,25,53
55140593,21,20,41
49302153,17,16,33
59502929,19,18,37
65294325,20,22,42
35708241,41,29,71
54310225,16,10,26
72813614,28,25,53
61322073,23,15,38
44669805,20,17,37
55675253,21,22,43
40489821,26,18,44
51550433,30,19,49
