customer_count,total_mrr,avg_mrr,annualized_revenue,avg_completion_rate,avg_abandonment_rate,avg_friction_score,pct_high_friction,pct_creates_no_publish,avg_email_creates_90d,avg_email_publishes_90d,total_eligible_initiatives,dimension,value
7358.0,4678786.547499963,635.8774867491115,56145438.56999956,0.6201920542952658,0.3798079457047342,0.1730838197605564,0.05762435444414243,0.05762435444414243,85.77154117966839,49.08765969013319,4.079369393857027,country_group,Tier 1 Develop
5152.0,4495787.09333326,872.6294824016421,53949445.119999126,0.6934039414065359,0.306596058593464,0.12787910666719926,0.015527950310559006,0.015527950310559006,76.85908385093168,43.714285714285715,4.224767080745342,ecomm_level,ecu
7248.0,3609908.5337500214,498.05581315535613,43318902.405000255,0.0,1.0,0.5207781456953644,0.33967991169977924,0.33967991169977924,2.078228476821192,0.0,1.883416114790287,builder_maturity,none
5236.0,3511790.874999953,670.701083842619,42141490.499999434,0.6567001806897895,0.3432998193102105,0.14883635247580307,0.03208556149732621,0.03208556149732621,65.58632543926662,45.927998472116116,4.140947288006111,country_group,United Kingdom
3344.0,1900831.645833327,568.4305160984829,22809979.749999925,0.5086399918984014,0.49136000810159874,0.24777007979566343,0.14683014354066987,0.14683014354066987,56.25717703349282,41.46142344497608,3.778409090909091,country_group,ROW
2811.0,1719431.229166667,611.6795550219377,20633174.750000004,0.6064368102652316,0.3935631897347684,0.17684896852997994,0.05300604766986838,0.05300604766986838,58.68409818569904,39.884738527214516,3.8295980078263963,tenure_band,12-24mo
2299.0,1468260.711666645,638.6518972016725,17619128.53999974,0.630965271328469,0.3690347286715311,0.16066304327374512,0.03653762505437146,0.03653762505437146,47.86254893431927,33.38277511961722,4.073945193562419,country_group,Australia
2816.0,1408888.339999972,500.3154616477173,16906660.079999663,0.6553158682032371,0.3446841317967631,0.15598444817325072,0.049005681818181816,0.049005681818181816,50.14808238636363,36.91974431818182,4.0735085227272725,country_group,Canada
4167.0,1377658.199999984,330.6115190784699,16531898.399999807,0.6192582360229555,0.3807417639770445,0.15229670559081782,0.0,0.0,3.760259179265659,1.509719222462203,3.185025197984161,builder_maturity,low
940.0,820756.723333314,873.1454503545893,9849080.679999767,0.5847352607006223,0.4152647392993776,0.18397823614528294,0.05425531914893617,0.05425531914893617,73.37234042553192,44.41808510638298,4.020212765957447,country_group,Tier 2 Develop
